mode,agent_steps,train_return,eval_return,eval_std,actor_loss,critic_loss,entropy,approx_kl
shared,0,,-35.99383248206704,13.00552964904389,,,,
shared,12000,-25.402594208922572,-23.872190481223434,7.65055534358326,-0.001764183957129717,0.20635303358236948,1.599412242571513,0.0006327868950393167
shared,21000,-23.348263175819316,-19.23211174179814,5.093033785138022,-0.0031058308978875477,0.1920943985382716,1.585196602344513,0.0010505270466334576
shared,30000,-24.29763780893987,-20.794035232788566,7.610200962617269,-0.0016899958136491477,0.21098787287871043,1.5761516412099204,0.000587824752922946
shared,42000,-21.718915478882355,-23.622861723805467,7.073038950583776,-0.0016393025405704975,0.17213035424550374,1.5548257946968078,0.0006158705193229253
shared,51000,-22.67990553941645,-25.381745320850577,8.123857737433264,-0.0009913894503066937,0.18904612958431244,1.5288848241170248,0.0002626122613946791
shared,60000,-21.46542623813685,-23.921784799300273,7.253801616250051,-0.0018410634870330493,0.15561030705769857,1.5480883240699768,0.00020607626714384724
shared,72000,-22.58497812759753,-21.591356945468636,7.970004251664223,-0.0007050121668726206,0.1837012012799581,1.5424530545870463,0.0001346584788431452
shared,81000,-22.155571713200864,-21.065760345598918,7.016160487354571,-6.048187303046385e-05,0.16330549865961075,1.55105109612147,2.3644276802770035e-05
shared,90000,-22.520527049057904,-21.536112480030006,7.038473946555826,-0.0011094965506345035,0.17602610339721045,1.5513930877049764,1.4683122916873496e-05
independent,0,,-30.352957494491193,8.472345120500956,,,,
independent,12000,-24.624394989980384,-54.07639966798681,14.48858936504428,-0.0010370586377878984,0.20289385964473086,1.6070711334546406,0.00011717331461037853
independent,21000,-26.549679953075508,-35.867184795644896,12.848367528685214,-0.0006603226608907182,0.2600407327214877,1.6045990347862242,7.077712782196006e-05
independent,30000,-27.57685384219102,-32.284321265973716,13.367429274284135,-0.0005924293305724859,0.2864877258737882,1.6010793566703796,5.993411820857849e-05
independent,42000,-24.52391506187264,-30.48533016773383,12.637334185240125,-0.0004426543290416399,0.24508328586816788,1.598287542661031,5.0617399568864134e-05
independent,51000,-25.158608360061795,-30.028253601694484,11.925555045741975,-0.0007009630013878146,0.2341912756363551,1.596581661701202,6.494898571910805e-05
independent,60000,-23.473571705072807,-29.073579448072945,7.985750361962714,-0.0003066460369154811,0.20963709106047948,1.596687388420105,2.1553403881095318e-05
independent,72000,-25.06860591544065,-28.666921264362205,5.833365740319195,8.061880556245646e-05,0.23092991213003797,1.5960435549418133,8.735419001482114e-06
independent,81000,-24.753314506576892,-26.86564584693777,6.187748395759207,-0.00029478967965890966,0.2077258149782817,1.596485678354899,4.061838830201244e-06
independent,90000,-25.259251838967334,-28.00871768587067,7.438351973437592,2.041745271223287e-05,0.2163898984591166,1.5937341491381327,1.501502431426142e-06
